model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
ridge,1,train_vs_validation_metrics_only,,,
ridge,2,train_vs_validation_metrics_only,,,
ridge,3,train_vs_validation_metrics_only,,,
ridge,4,train_vs_validation_metrics_only,,,
ridge,5,train_vs_validation_metrics_only,,,
random_forest,1,train_vs_validation_metrics_only,,,
random_forest,2,train_vs_validation_metrics_only,,,
random_forest,3,train_vs_validation_metrics_only,,,
random_forest,4,train_vs_validation_metrics_only,,,
random_forest,5,train_vs_validation_metrics_only,,,
svr,1,train_vs_validation_metrics_only,,,
svr,2,train_vs_validation_metrics_only,,,
svr,3,train_vs_validation_metrics_only,,,
svr,4,train_vs_validation_metrics_only,,,
svr,5,train_vs_validation_metrics_only,,,
hist_gb,1,iterative_loss,20.0,0.016245513210929294,0.003312868974718268
hist_gb,2,iterative_loss,20.0,0.017575820259922586,0.0006775663196086654
hist_gb,3,iterative_loss,20.0,0.015465778865848854,0.00658207869481066
hist_gb,4,iterative_loss,20.0,0.01756032944626248,0.006506231080905473
hist_gb,5,iterative_loss,20.0,0.00623296239589422,0.0010379366434559757
xgboost,1,train_vs_validation_metrics_only,,,
xgboost,2,train_vs_validation_metrics_only,,,
xgboost,3,train_vs_validation_metrics_only,,,
xgboost,4,train_vs_validation_metrics_only,,,
xgboost,5,train_vs_validation_metrics_only,,,
